nome_conta;linha_dre;natureza;tipo_estoque
ADIANTAMENTOS A FORNECEDORES;IGNORAR;IGNORAR;
ALUGUEL;OPER_GESTAO;DESPESA_DIRETA;
ANTECIPAÇÃO DE DIVIDENDOS / RETIRADAS DE SÓCIOS;OPER_PROLAB;DESPESA_DIRETA;
ANÁLISE E DESENVOLVIMENTO DE SOFTWARE;OPER_ERP;DESPESA_DIRETA;
APLICAÇÕES FINANCEIRAS / FUNDOS DE INVESTIMENTOS;OPER_OUTRASFIX;DESPESA_DIRETA;
APORTE FINANCEIRO PARA OBRA;CAPEX_REFBENF;CAPEX;
ASSINATURA DE PUBLICAÇÕES (REVISTAS,JORNAIS,OUTR);OPER_PATROC;DESPESA_DIRETA;
AVARIAS DE EQUIPAMENTOS LEVES LOCADOS;CMV_MANUT;DESPESA_DIRETA;
BEBIDAS - COZINHA;OPER_REFALIM;DESPESA_DIRETA;
BENFEITORIA EM IMÓVEIS DE TERCEIROS - MATERIAIS;CAPEX_REFBENF;CAPEX;
BENFEITORIA EM IMÓVEIS DE TERCEIROS - SERVIÇOS;CAPEX_REFBENF;CAPEX;
BENFEITORIAS EM IMÓVEIS;CAPEX_REFBENF;CAPEX;
CARTÃO CORPORATIVO;OPER_GESTAO;DESPESA_DIRETA;
CARTÃO CORPORATIVO TRES AMORES MATRIZ;OPER_GESTAO;DESPESA_DIRETA;
CARTÓRIOS;OPER_TAXAS;DESPESA_DIRETA;
CEREAIS - COZINHA;OPER_REFALIM;DESPESA_DIRETA;
CERTIFICADOS DIGITAIS;OPER_CERTDIG;DESPESA_DIRETA;
COMEMORAÇÃO E CONFRATERNIZAÇÃO;OPER_CONFRAT;DESPESA_DIRETA;
COMISSAO;OPER_COMISSAO;DESPESA_DIRETA;
COMPRA DE MEDICAMENTOS VETERINÁRIOS;CMV_SAUDE;DESPESA_DIRETA;
COMPRA DE MUDAS;OPER_LAVOURA;DESPESA_DIRETA;
COMPRA DE OVOS BRANCO TIPO GRANDE PARA REVENDA;CMV_OUTROS;DESPESA_DIRETA;
COMPRA DE OVOS CAIPIRA TIPO GRANDE PARA REVENDA;CMV_OUTROS;DESPESA_DIRETA;
COMPRA DE OVOS VERMELHO TIPO GRANDE PARA REVENDA;CMV_OUTROS;DESPESA_DIRETA;
COMPRA DE PÓ DE SERRA;CMV_OUTROS;DESPESA_DIRETA;
COMPRA DE RAÇÃO PARA GALINHAS;CMV_NUCLEO;INVENTARIAVEL;RACAO
CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DO RIO DE JANEIRO (CRMV - RJ );CMV_SAUDE;DESPESA_DIRETA;
CONTABILIDADE;OPER_CONTADOR;DESPESA_DIRETA;
COPA / COZINHA / BANHEIRO;OPER_LIMP;DESPESA_DIRETA;
CREA / CRQ / CRA;OPER_TAXAS;DESPESA_DIRETA;
CSLL;IMP_CSLL;IMPOSTO;
CUSTOS INCORRIDOS - TRANSFERENCIA DE SISTEMAS;IGNORAR;IGNORAR;
CUSTOS SIENGE;IGNORAR;IGNORAR;
