# Sugestões geradas automaticamente — revisar antes de usar
# nome_conta;linha_dre;natureza;tipo_estoque
ENCARGOS SOCIAIS;OPER_ENCARGOS;DESPESA_DIRETA;
IRRF S/ FOLHA DE PAGAMENTO (0561);???;DESPESA_DIRETA;
ENCARGOS E PROVISÕES;OPER_ENCARGOS;DESPESA_DIRETA;
INSS DCTF WEB - FUNCIONÁRIO;OPER_ENCARGOS;DESPESA_DIRETA;
DESPESAS ADMINISTRATIVAS;???;DESPESA_DIRETA;
13º SALÁRIO;OPER_FOLHA;DESPESA_DIRETA;
LIMPEZA - COZINHA;???;DESPESA_DIRETA;
(-) DESCONTOS CONCEDIDOS;???;DESPESA_DIRETA;
PAGAMENTO DE IRRF (1708);???;DESPESA_DIRETA;
PAGAMENTO DE PIS/COFINS/CSLL (5952);IMP_IRPJ;DESPESA_DIRETA;
MANUTENÇÃO COM VEÍCULOS DE PASSEIO;CMV_MANUT;DESPESA_DIRETA;
TAXAS MUNICIPAIS;???;DESPESA_DIRETA;
VALE ALIMENTAÇÃO;OPER_REFEI;DESPESA_DIRETA;
MARCAS E PATENTES;???;DESPESA_DIRETA;
AQUISIÇÕES - FAZENDA;???;DESPESA_DIRETA;
GTA - GUIA DE TRANSITO ANIMAL;???;DESPESA_DIRETA;
REEMBOLSO DE DESPESAS DIVERSAS;???;DESPESA_DIRETA;
CURSOS E TREINAMENTOS COM PESSOAL;???;DESPESA_DIRETA;
MATERIAL PECUÁRIO;???;DESPESA_DIRETA;
ASSISTENCIA MÉDICA;???;DESPESA_DIRETA;
COMPRA DE PINTAINHAS;???;DESPESA_DIRETA;
PATROCÍNIO UNIVERSITÁRIO;???;DESPESA_DIRETA;
COMPRA DE RAÇÃO PARA RECRIA;CMV_NUCLEO;DESPESA_DIRETA;
MATERIAL DE CONSUMO - COZINHA;???;DESPESA_DIRETA;
CUSTOS DE PRODUTOS PARA EMBALAGENS;???;DESPESA_DIRETA;
(+) RETENÇÃO DE PIS/COFINS/CSLL (5952);IMP_IRPJ;DESPESA_DIRETA;
KBF COMERCIO DE GENEROS ALIMENTICIOS LTDA;???;DESPESA_DIRETA;
