# Mapeamento fornecedor → linha DRE (fallback quando NF não tem conta contábil no Auditor)
# Completar/corrigir conforme necessário
# credor;linha_dre;natureza;tipo_estoque;observacao
AGROCERES MULTIMIX NUTRICAO ANIMAL LTDA;CMV_NUCLEO;INVENTARIAVEL;RACAO;Núcleo vitamínico/ração
BM COMERCIO DE PRODUTOS QUIMICOS E BIOLOGICOS LTDA ME;CMV_SAUDE;DESPESA_DIRETA;;Produtos saúde animal
BOMPEL PAPEIS LTDA ME;CMV_EMBAL;INVENTARIAVEL;EMBALAGEM;Embalagens de papel
BLS INDUSTRIA E COMERCIO DE PLASTICOS LTDA;CMV_EMBAL;INVENTARIAVEL;EMBALAGEM;Plásticos/embalagens
CARGILL NOVOS HORIZONTES LTDA;CMV_MILHO;INVENTARIAVEL;RACAO;Milho/cereais
CARVALHO  MOURA COMERCIO ATACADO E VAREJO DE GAS LTDA;OPER_GAS;DESPESA_DIRETA;;GLP/gás
CONSTROI LOPES MATERIAIS DE CONSTRUCAO LTDA;CAPEX_REFBENF;CAPEX;;Materiais de construção
DNORTE A SUL TRANSPORTADORA LTDA;OPER_FRETE;DESPESA_DIRETA;;Frete/transporte
ELETRICIDADE ENERGIA E LUZ COMERCIO LTDA;CMV_ENERGIA;DESPESA_DIRETA;;Energia elétrica
EMPRESA DE MINERACAO JEQUITIBA DE BOM JARDIM LTDA;CMV_NUCLEO;INVENTARIAVEL;RACAO;Calcário/minerais ração
GISALTO COM. AUTO PECAS P/CAMINHOES E AUTOMOVEIS LTDA;CMV_MANUT;DESPESA_DIRETA;;Peças veículos
GRAOS DO FUTURO LTDA - EPP;CMV_MILHO;INVENTARIAVEL;RACAO;Milho/grãos
JS COMERCIO E ALIMENTOS LTDA;CMV_NUCLEO;INVENTARIAVEL;RACAO;Insumos nutrição animal
KINGSPAN - ISOESTE CONSTRUTIVOS ISOTERMICOS S/A;CAPEX_REFBENF;CAPEX;;Materiais construção/isolamento
MENDES E BERBERT COMERCIAL AGRICOLA DE BOM JARDIM LTDA;OPER_LAVOURA;DESPESA_DIRETA;;Materiais agrícolas
MERCOAVES CRIACAO DE AVES DE POSTURA LTDA - ES;CMV_OUTROS;DESPESA_DIRETA;;Pintainhas/aves postura
MILHAO DO VALE COMERCIO E REPRESENTACOES LTDA;CMV_MILHO;INVENTARIAVEL;RACAO;Milho
PLASSON DO BRASIL LTDA - MATRIZ;CMV_EMBAL;INVENTARIAVEL;EMBALAGEM;Niples/materiais avícolas
PRO-AXXO DE FRIBURGO COMERCIO DE MATERIAIS DE CONS;CAPEX_REFBENF;CAPEX;;Materiais de construção
REDE PRIMAVERA COMBUSTIVEIS LTDA;OPER_DIESEL;DESPESA_DIRETA;;Combustível
S.R AGRONEGOCIOS LTDA;CMV_MILHO;INVENTARIAVEL;RACAO;Milho/soja/cereais
SALARIOS;OPER_FOLHA;DESPESA_DIRETA;;Folha de pagamento (lançado sem conta)
SPEEDGRAF 143 LTDA;CMV_EMBAL;INVENTARIAVEL;EMBALAGEM;Gráfica/embalagens
SUPERCAL PAINS LTDA;CMV_NUCLEO;INVENTARIAVEL;RACAO;Calcário/suplemento mineral
TRES AMORES INDUSTRIA LTDA;IGNORAR;IGNORAR;;Transferência interna
VIEIRA COMERCIAL DE CEREIAS E ALIMENTOS LTDA;CMV_MILHO;INVENTARIAVEL;RACAO;Milho/cereais
